試験委託に係わる秘密保持契約書	0	x
( 以 下 「 甲 」 と い う ) と 株 式 会 社 島 津 テ ク ノ リ サ ー チ	0	c
( 以 下 「 乙 」 と い う ) と は 、 試 料 の 分 析 お よ び 試 験 ( 以 下 「 本 試 験 」 と い う ) に 係	0	c
わ る 秘 密 保 持 の た め 、 次 の 事 項 を 契 約 す る 。	0	s
第 1 条       乙 は 、 本 試 験 に 関 し 、 甲 か ら 提 供 を 受 け た 本 試 験 の 遂 行 に 必 要 な 技 術	0	c
情 報 及 び 試 験 物 質 を 本 試 験 の み に 使 用 し 、 甲 の 書 面 に よ る 事 前 の 同 意	0	c
な く 他 の 目 的 に 一 切 使 用 又 は 利 用 し な い 。	0	s
第 2 条       乙 は 、 本 試 験 に 係 わ る 打 ち 合 せ 事 項 、 技 術 情 報 、 試 験 物 質 及 び 試 験 等	0	c
に よ り 知 り 得 た 甲 の 業 務 上 の 秘 密 、 な ら び に 本 試 験 の 結 果 に つ き 秘 密	0	c
を 厳 守 し 、 他 に 開 示 又 は 漏 洩 し て は な ら な い 。	0	b
ま た 、 乙 は 、 甲 か ら 提 供 を 受 け た 技 術 情 報 は 機 密 扱 い と し 、 甲 の 許 可	0	c
な く し て み だ り に 複 写 し て は な ら な い 。	0	s
第 3 条       乙 は 、 技 術 情 報 及 び 試 験 物 質 を 甲 か ら 受 領 す る 都 度 、 当 該 受 領 書 を 甲	0	c
に 提 出 す る 。	0	s
第 4 条       第 1 条 お よ び 第 2 条 の 義 務 は 、 開 示 の 時 点 に お い て 公 知 の 情 報 、 乙 の	0	c
責 め に よ ら ず 公 知 と な っ た 情 報 、 第 三 者 か ら 機 密 保 持 義 務 を 負 わ ず に	0	c
適 法 に 入 手 し た 情 報 、 お よ び 乙 に お い て 甲 か ら 提 供 さ れ る 以 前 に 知 得	0	c
し て い た こ と を 証 明 で き る 情 報 に つ い て は 適 用 が な い も の と す る 。	0	s
第 5 条       乙 は 、 本 試 験 の 終 了 後 、 又 は そ れ 以 前 に お い て も 甲 の 指 示 を 受 け た 場	0	c
合 、 速 や か に 返 還 可 能 な 技 術 情 報 及 び 試 験 物 質 を 甲 に 返 還 す る も の と	0	c
す る 。	0	s
第 6 条       乙 が 本 契 約 に 違 反 し た と き は 、 甲 は 乙 に 損 害 賠 償 の 請 求 を す る こ と が	0	c
で き る 。	0	s
第 7 条       本 契 約 の 期 間 は 、 本 契 約 締 結 の 日 か ら 5 年 間 と す る 。 但 し 、 期 間 満 了	0	c
の 1 ヶ 月 前 ま で に 甲 乙 い ず れ か ら も 終 了 の 意 思 表 示 が な い 場 合 、 本 契	0	c
約 は 更 に 2 年 間 ず つ 延 長 さ れ る も の と す る 。	0	s
第 8 条       本 契 約 に 定 め の な い 事 項 若 し く は 解 釈 に 疑 義 を 生 じ た 場 合 は 、 甲 ・ 乙	0	c
信 義 誠 実 の 精 神 を 以 し て 協 議 し 、 こ れ を 解 決 す る も の と す る 。	0	c
本 契 約 締 結 の 証 と し て 本 書 2 通 を 作 成 し 、 甲 ・ 乙 記 名 捺 印 の う え 、 各 1 通 を 保 有 す	0	c
る 。	0	s
                年     月     日	0	x
甲	0	x
                  乙           京 都 市 中 京 区 西 ノ 京 下 合 町 1番 地	0	x
株 式 会 社島 津 テ ク ノ リ サ ー チ	0	x
